Unnamed: 0,week_id,week_position,song,performer,instance,previous_week_position,peak_position,weeks_on_chart
2296,2021-05-29,14,100.mil',J. Cole & Bas,1,debut,14,1
273456,2021-05-01,26,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,21.0,2,25
273963,2021-05-08,27,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,26.0,2,26
274422,2021-05-15,29,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,27.0,2,27
274861,2021-05-22,36,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,29.0,2,28
1057,2021-05-29,8,95.south,J. Cole,1,debut,8,1
93723,2021-05-01,7,Astronaut In The Ocean,Masked Wolf,1,10.0,7,10
99287,2021-05-08,8,Astronaut In The Ocean,Masked Wolf,1,7.0,7,11
186666,2021-05-15,7,Astronaut In The Ocean,Masked Wolf,1,8.0,7,12
191100,2021-05-22,6,Astronaut In The Ocean,Masked Wolf,1,7.0,6,13
267738,2021-05-29,11,Astronaut In The Ocean,Masked Wolf,1,6.0,6,14
263346,2021-05-01,23,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,20.0,13,16
266165,2021-05-08,22,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,23.0,13,17
268824,2021-05-29,40,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,26.0,13,20
286991,2021-05-15,25,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,22.0,13,18
289306,2021-05-22,26,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,25.0,13,19
259719,2021-05-08,13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,14.0,12,15
263103,2021-05-15,16,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,13.0,12,16
265958,2021-05-22,15,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,16.0,12,17
267922,2021-05-01,14,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,12.0,12,14
287124,2021-05-29,31,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,15.0,12,18
625,2021-05-08,18,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,22.0,18,8
57792,2021-05-15,19,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,18.0,18,9
94770,2021-05-22,18,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,19.0,18,10
100795,2021-05-29,26,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,18.0,18,11
156211,2021-05-01,22,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,27.0,22,7
259815,2021-05-01,15,Best Friend,Saweetie Featuring Doja Cat,1,17.0,14,15
263107,2021-05-08,16,Best Friend,Saweetie Featuring Doja Cat,1,15.0,14,16
266024,2021-05-15,17,Best Friend,Saweetie Featuring Doja Cat,1,16.0,14,17
286847,2021-05-22,19,Best Friend,Saweetie Featuring Doja Cat,1,17.0,14,18
289395,2021-05-29,30,Best Friend,Saweetie Featuring Doja Cat,1,19.0,14,19
302654,2021-05-01,13,Blinding Lights,The Weeknd,2,11.0,3,72
302657,2021-05-08,11,Blinding Lights,The Weeknd,2,13.0,3,73
302660,2021-05-15,11,Blinding Lights,The Weeknd,2,11.0,3,74
302663,2021-05-22,12,Blinding Lights,The Weeknd,2,11.0,3,75
302666,2021-05-29,23,Blinding Lights,The Weeknd,2,12.0,3,76
27882,2021-05-01,49,Breaking Up Was Easy In The 90's,Sam Hunt,1,67.0,49,8
59938,2021-05-08,46,Breaking Up Was Easy In The 90's,Sam Hunt,1,49.0,46,9
96343,2021-05-15,40,Breaking Up Was Easy In The 90's,Sam Hunt,1,46.0,40,10
101192,2021-05-22,32,Breaking Up Was Easy In The 90's,Sam Hunt,1,40.0,32,11
188872,2021-05-29,43,Breaking Up Was Easy In The 90's,Sam Hunt,1,32.0,32,12
94528,2021-05-01,16,Calling My Phone,Lil Tjay Featuring 6LACK,1,13.0,3,10
99857,2021-05-08,14,Calling My Phone,Lil Tjay Featuring 6LACK,1,16.0,3,11
187158,2021-05-15,13,Calling My Phone,Lil Tjay Featuring 6LACK,1,14.0,3,12
191586,2021-05-22,13,Calling My Phone,Lil Tjay Featuring 6LACK,1,13.0,3,13
205296,2021-05-29,29,Calling My Phone,Lil Tjay Featuring 6LACK,1,13.0,3,14
273494,2021-05-01,29,Dakiti,Bad Bunny & Jhay Cortez,1,34.0,5,25
274030,2021-05-08,33,Dakiti,Bad Bunny & Jhay Cortez,1,29.0,5,26
274504,2021-05-15,38,Dakiti,Bad Bunny & Jhay Cortez,1,33.0,5,27
274917,2021-05-22,43,Dakiti,Bad Bunny & Jhay Cortez,1,38.0,5,28
37402,2021-05-01,11,Deja Vu,Olivia Rodrigo,1,15.0,8,3
50503,2021-05-08,12,Deja Vu,Olivia Rodrigo,1,11.0,8,4
79391,2021-05-22,17,Deja Vu,Olivia Rodrigo,1,15.0,8,6
