week_id,week_position,song,performer,instance,previous_week_position,peak_position,weeks_on_chart,spotify_genre
5/29/2021,14,100.mil',J. Cole & Bas,1,debut,14,1,NA
5/1/2021,26,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,21,2,25,NA
5/8/2021,27,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,26,2,26,NA
5/15/2021,29,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,27,2,27,NA
5/22/2021,36,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,1,29,2,28,NA
5/29/2021,8,95.south,J. Cole,1,debut,8,1,hip hop
5/1/2021,7,Astronaut In The Ocean,Masked Wolf,1,10,7,10,hip hop
5/8/2021,8,Astronaut In The Ocean,Masked Wolf,1,7,7,11,hip hop
5/15/2021,7,Astronaut In The Ocean,Masked Wolf,1,8,7,12,hip hop
5/22/2021,6,Astronaut In The Ocean,Masked Wolf,1,7,6,13,hip hop
5/29/2021,11,Astronaut In The Ocean,Masked Wolf,1,6,6,14,hip hop
5/1/2021,23,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,20,13,16,NA
5/8/2021,22,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,23,13,17,NA
5/29/2021,40,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,26,13,20,NA
5/15/2021,25,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,22,13,18,NA
5/22/2021,26,Back In Blood,Pooh Shiesty Featuring Lil Durk,1,25,13,19,NA
5/8/2021,13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,14,12,15,NA
5/15/2021,16,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,13,12,16,NA
5/22/2021,15,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,16,12,17,NA
5/1/2021,14,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,12,12,14,NA
5/29/2021,31,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,1,15,12,18,NA
5/8/2021,18,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,22,18,8,NA
5/15/2021,19,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,18,18,9,NA
5/22/2021,18,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,19,18,10,NA
5/29/2021,26,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,18,18,11,NA
5/1/2021,22,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,1,27,22,7,NA
5/1/2021,15,Best Friend,Saweetie Featuring Doja Cat,1,17,14,15,NA
5/8/2021,16,Best Friend,Saweetie Featuring Doja Cat,1,15,14,16,NA
5/15/2021,17,Best Friend,Saweetie Featuring Doja Cat,1,16,14,17,NA
5/22/2021,19,Best Friend,Saweetie Featuring Doja Cat,1,17,14,18,NA
5/29/2021,30,Best Friend,Saweetie Featuring Doja Cat,1,19,14,19,NA
5/1/2021,13,Blinding Lights,The Weeknd,2,11,3,72,r&b
5/8/2021,11,Blinding Lights,The Weeknd,2,13,3,73,r&b
5/15/2021,11,Blinding Lights,The Weeknd,2,11,3,74,r&b
5/22/2021,12,Blinding Lights,The Weeknd,2,11,3,75,r&b
5/29/2021,23,Blinding Lights,The Weeknd,2,12,3,76,r&b
5/1/2021,49,Breaking Up Was Easy In The 90's,Sam Hunt,1,67,49,8,country
5/8/2021,46,Breaking Up Was Easy In The 90's,Sam Hunt,1,49,46,9,country
5/15/2021,40,Breaking Up Was Easy In The 90's,Sam Hunt,1,46,40,10,country
5/22/2021,32,Breaking Up Was Easy In The 90's,Sam Hunt,1,40,32,11,country
5/29/2021,43,Breaking Up Was Easy In The 90's,Sam Hunt,1,32,32,12,country
5/1/2021,16,Calling My Phone,Lil Tjay Featuring 6LACK,1,13,3,10,NA
5/8/2021,14,Calling My Phone,Lil Tjay Featuring 6LACK,1,16,3,11,NA
5/15/2021,13,Calling My Phone,Lil Tjay Featuring 6LACK,1,14,3,12,NA
5/22/2021,13,Calling My Phone,Lil Tjay Featuring 6LACK,1,13,3,13,NA
5/29/2021,29,Calling My Phone,Lil Tjay Featuring 6LACK,1,13,3,14,NA
5/1/2021,29,Dakiti,Bad Bunny & Jhay Cortez,1,34,5,25,NA
5/8/2021,33,Dakiti,Bad Bunny & Jhay Cortez,1,29,5,26,NA
5/15/2021,38,Dakiti,Bad Bunny & Jhay Cortez,1,33,5,27,NA
5/22/2021,43,Dakiti,Bad Bunny & Jhay Cortez,1,38,5,28,NA
5/1/2021,11,Deja Vu,Olivia Rodrigo,1,15,8,3,pop
5/8/2021,12,Deja Vu,Olivia Rodrigo,1,11,8,4,pop
5/22/2021,17,Deja Vu,Olivia Rodrigo,1,15,8,6,pop
5/15/2021,15,Deja Vu,Olivia Rodrigo,1,12,8,5,pop
5/29/2021,21,Deja Vu,Olivia Rodrigo,1,17,8,7,pop
5/1/2021,46,Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,1,debut,46,1,NA
5/8/2021,10,Drivers License,Olivia Rodrigo,1,10,1,16,pop
5/29/2021,24,Drivers License,Olivia Rodrigo,1,16,1,19,pop
5/1/2021,10,Drivers License,Olivia Rodrigo,1,9,1,15,pop
5/15/2021,14,Drivers License,Olivia Rodrigo,1,10,1,17,pop
5/22/2021,16,Drivers License,Olivia Rodrigo,1,14,1,18,pop
5/15/2021,20,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,1,debut,20,1,NA
5/22/2021,21,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,1,20,20,2,NA
5/29/2021,35,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,1,21,20,3,NA
5/1/2021,40,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,1,36,6,42,NA
5/8/2021,45,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,1,40,6,43,NA
5/1/2021,35,Forever After All,Luke Combs,1,44,2,26,country
5/8/2021,29,Forever After All,Luke Combs,1,35,2,27,country
5/15/2021,23,Forever After All,Luke Combs,1,29,2,28,country
5/22/2021,22,Forever After All,Luke Combs,1,23,2,29,country
5/29/2021,22,Forever After All,Luke Combs,1,22,2,30,country
5/1/2021,24,Go Crazy,Chris Brown & Young Thug,1,22,3,50,NA
5/8/2021,25,Go Crazy,Chris Brown & Young Thug,1,24,3,51,NA
5/15/2021,28,Go Crazy,Chris Brown & Young Thug,1,25,3,52,NA
5/29/2021,1,Good 4 U,Olivia Rodrigo,1,debut,1,1,pop
5/15/2021,49,Good Days,SZA,1,44,9,19,rap
5/1/2021,44,Good Days,SZA,1,39,9,17,rap
5/8/2021,44,Good Days,SZA,1,44,9,18,rap
5/8/2021,48,Goosebumps,Travis Scott & HVME,1,47,47,15,NA
5/15/2021,50,Goosebumps,Travis Scott & HVME,1,48,47,16,NA
5/1/2021,47,Goosebumps,Travis Scott & HVME,1,50,47,14,NA
5/22/2021,47,Goosebumps,Travis Scott & HVME,1,50,47,17,NA
5/1/2021,20,Heartbreak Anniversary,Giveon,1,26,20,10,r&b
5/8/2021,17,Heartbreak Anniversary,Giveon,1,20,17,11,r&b
5/22/2021,23,Heartbreak Anniversary,Giveon,1,22,17,13,r&b
5/29/2021,32,Heartbreak Anniversary,Giveon,1,23,17,14,r&b
5/15/2021,22,Heartbreak Anniversary,Giveon,1,17,17,12,r&b
5/1/2021,39,Heat Waves,Glass Animals,2,41,39,14,indie
5/8/2021,42,Heat Waves,Glass Animals,2,39,39,15,indie
5/15/2021,34,Heat Waves,Glass Animals,2,42,34,16,indie
5/22/2021,33,Heat Waves,Glass Animals,2,34,33,17,indie
5/29/2021,42,Heat Waves,Glass Animals,2,33,33,18,indie
5/1/2021,41,Hell Of A View,Eric Church,2,58,41,15,country
5/8/2021,28,Hell Of A View,Eric Church,2,41,28,16,country
5/15/2021,36,Hell Of A View,Eric Church,2,28,28,17,country
5/22/2021,30,Hell Of A View,Eric Church,2,36,28,18,country
5/29/2021,36,Hell Of A View,Eric Church,2,30,28,19,country
5/15/2021,43,I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",1,debut,43,1,NA
5/1/2021,8,Kiss Me More,Doja Cat Featuring SZA,1,7,7,2,NA
5/15/2021,5,Kiss Me More,Doja Cat Featuring SZA,1,6,5,4,NA
5/8/2021,6,Kiss Me More,Doja Cat Featuring SZA,1,8,6,3,NA
5/29/2021,10,Kiss Me More,Doja Cat Featuring SZA,1,5,5,6,NA
5/22/2021,5,Kiss Me More,Doja Cat Featuring SZA,1,5,5,5,NA
5/8/2021,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,2,1,8,NA
5/1/2021,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,3,1,7,NA
5/15/2021,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,2,1,9,NA
5/22/2021,1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,2,1,10,NA
5/29/2021,4,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,1,1,11,NA
5/1/2021,5,Levitating,Dua Lipa Featuring DaBaby,1,6,5,29,NA
5/8/2021,5,Levitating,Dua Lipa Featuring DaBaby,1,5,5,30,NA
5/15/2021,4,Levitating,Dua Lipa Featuring DaBaby,1,5,4,31,NA
5/22/2021,2,Levitating,Dua Lipa Featuring DaBaby,1,4,2,32,NA
5/29/2021,3,Levitating,Dua Lipa Featuring DaBaby,1,2,2,33,NA
5/1/2021,42,Made For You,Jake Owen,1,43,42,9,country
5/8/2021,43,Made For You,Jake Owen,1,42,42,10,country
5/15/2021,32,Made For You,Jake Owen,1,43,32,11,country
5/22/2021,35,Made For You,Jake Owen,1,32,32,12,country
5/22/2021,11,Miss The Rage,Trippie Redd & Playboi Carti,1,debut,11,1,NA
5/29/2021,50,Miss The Rage,Trippie Redd & Playboi Carti,1,11,11,2,NA
5/1/2021,4,Montero (Call Me By Your Name),Lil Nas X,1,2,1,4,country
5/15/2021,9,Montero (Call Me By Your Name),Lil Nas X,1,7,1,6,country
5/29/2021,18,Montero (Call Me By Your Name),Lil Nas X,1,10,1,8,country
5/22/2021,10,Montero (Call Me By Your Name),Lil Nas X,1,9,1,7,country
5/8/2021,7,Montero (Call Me By Your Name),Lil Nas X,1,4,1,5,country
5/1/2021,19,Mood,24kGoldn Featuring iann dior,1,18,1,37,NA
5/8/2021,20,Mood,24kGoldn Featuring iann dior,1,19,1,38,NA
5/15/2021,24,Mood,24kGoldn Featuring iann dior,1,20,1,39,NA
5/22/2021,24,Mood,24kGoldn Featuring iann dior,1,24,1,40,NA
5/29/2021,37,Mood,24kGoldn Featuring iann dior,1,24,1,41,NA
5/1/2021,27,My Ex's Best Friend,Machine Gun Kelly X blackbear,2,28,21,36,NA
5/8/2021,21,My Ex's Best Friend,Machine Gun Kelly X blackbear,2,27,21,37,NA
5/15/2021,21,My Ex's Best Friend,Machine Gun Kelly X blackbear,2,21,21,38,NA
5/22/2021,20,My Ex's Best Friend,Machine Gun Kelly X blackbear,2,21,20,39,NA
5/29/2021,34,My Ex's Best Friend,Machine Gun Kelly X blackbear,2,20,20,40,NA
5/1/2021,43,No More Parties,Coi Leray Featuring Lil Durk,1,37,26,11,NA
5/22/2021,48,No More Parties,Coi Leray Featuring Lil Durk,1,51,26,14,NA
5/8/2021,47,No More Parties,Coi Leray Featuring Lil Durk,1,43,26,12,NA
5/1/2021,32,On Me,Lil Baby,1,33,23,20,hip hop
5/8/2021,15,On Me,Lil Baby,1,32,15,21,hip hop
5/15/2021,18,On Me,Lil Baby,1,15,15,22,hip hop
5/22/2021,25,On Me,Lil Baby,1,18,15,23,hip hop
5/29/2021,47,On Me,Lil Baby,1,25,15,24,hip hop
5/29/2021,6,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,3,1,9,NA
5/1/2021,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,4,1,5,NA
5/15/2021,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,3,1,7,NA
5/8/2021,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,3,1,6,NA
5/22/2021,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,3,1,8,NA
5/1/2021,33,Positions,Ariana Grande,1,31,1,26,pop
5/8/2021,34,Positions,Ariana Grande,1,33,1,27,pop
5/15/2021,37,Positions,Ariana Grande,1,34,1,28,pop
5/22/2021,37,Positions,Ariana Grande,1,37,1,29,pop
5/1/2021,1,Rapstar,Polo G,1,1,1,2,rap
5/8/2021,4,Rapstar,Polo G,1,1,1,3,rap
5/15/2021,6,Rapstar,Polo G,1,4,1,4,rap
5/29/2021,15,Rapstar,Polo G,1,7,1,6,rap
5/22/2021,7,Rapstar,Polo G,1,6,1,5,rap
5/1/2021,6,Save Your Tears,The Weeknd & Ariana Grande,1,5,4,17,NA
5/29/2021,9,Save Your Tears,The Weeknd & Ariana Grande,1,4,1,21,NA
5/8/2021,1,Save Your Tears,The Weeknd & Ariana Grande,1,6,1,18,NA
5/15/2021,1,Save Your Tears,The Weeknd & Ariana Grande,1,1,1,19,NA
